Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
AIMC,"Altra Holdings, Inc.",24.94,673539117.2,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
ALVR,Alvarion Ltd.,0.88,7869062.08,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alvr
AMAG,"AMAG Pharmaceuticals, Inc.",22.82,494907426.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation PLC,5.87,1013244256,n/a,1995,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMZN,"Amazon.com, Inc.",287.09,1.31167E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",23.4,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",13.69,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",16.12,439405956.1,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
EPAX,"Ambassadors Group, Inc.",3.43,58252825.33,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
AMBT,Ambient Corporation,2.68,44661002.04,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt
AMBI,Ambit Biosciences Corporation,11.38,203436891.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ambi
AMCX,AMC Networks Inc.,65.7,4748464938,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMED,Amedisys Inc,17.21,553840173,n/a,1987,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,173,3392147324,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ASBI,Ameriana Bancorp,10.79,32250792.08,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
ATAX,"America First Tax Exempt Investors, L.P.",7.01,299838225.3,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",20.03,75952758500,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AGNC,American Capital Agency Corp.,21.49,8513892555,n/a,1983,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCP,American Capital Agency Corp.,24.74,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
MTGE,American Capital Mortgage Investment Corp.,18.7,1048521305,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
ACAS,"American Capital, Ltd.",12.74,3756066754,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
ANCI,American Caresource Holdings Inc,1.84,10509811.36,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
AETI,"American Electric Technologies, Inc.",7.43,59471005.39,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMIC,American Independence Corp.,8,64580384,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
AMNB,"American National Bankshares, Inc.",22.99,181051997.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,111.14,2988948480,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
APFC,American Pacific Corporation,46.45,368689117.9,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apfc
APEI,"American Public Education, Inc.",38.51,679859891.6,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",36.21,773166674.4,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
ARCP,"American Realty Capital Properties, Inc.",13.05,2412865212,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
AMRB,American River Bankshares,9.22,81445441.64,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
ASEI,"American Science and Engineering, Inc.",58.79,459413867.1,n/a,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
AMSWA,"American Software, Inc.",8.27,226320417.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,2.46,155287010.5,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,33.21,495623715.3,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",41.23,372784054.8,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,18.9,451679608.8,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",33.56,619245092.8,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.06,57479615.28,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,26.088,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,20.82,193853208.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,105.6,79554415670,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",2.69,133509197.7,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",4.23,921532745.4,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMSG,Amsurg Corp.,39.22,1267298172,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
ASYS,"Amtech Systems, Inc.",5.68,54182849.12,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",38.7,2880878155,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",2.6,198097055,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ANAC,"Anacor Pharmaceuticals, Inc.",10.45,423835666.7,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
ANAD,"ANADIGICS, Inc.",1.73,144320473.5,n/a,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
ADI,"Analog Devices, Inc.",47.85,14745715156,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,74.33,910549635.7,n/a,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANLY,Analysts International Corporation,3.94,20163450.38,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/anly
ANEN,"Anaren, Inc.",25.08,332374555.9,n/a,1972,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/anen
ANCB,Anchor Bancorp,16.55,42202500,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
AMCF,Andatee China Marine Fuel Services Corporation,0.6902,6805481.742,n/a,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
ANDA,Andina Acquisition Corporation,10.08,52920000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAU,Andina Acquisition Corporation,10.25,16912510.25,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corporation,0.43,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",21.43,1251170020,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",11.3,396201040.7,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",7.44,71029285.68,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,23.27,317917904.7,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",85.62,7914437532,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",4.49,570943573.3,n/a,2002,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",3.43,65565324.65,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APAGF,Apco Oil and Gas International Inc.,13.13,386563481.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf
ATNY,API Technologies Corp.,2.88,157856310.7,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
APOG,"Apogee Enterprises, Inc.",27.61,793503862.5,n/a,1971,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Group, Inc.",18.91,2133709850,n/a,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
AINV,Apollo Investment Corporation,7.98,1793435981,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AAPL,Apple Inc.,501.07,4.55221E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",2.98,16571562.46,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
AMAT,"Applied Materials, Inc.",15.56,18696906519,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,11.14,814462756.1,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AREX,Approach Resources Inc.,23.93,933611887.9,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APRI,"Apricus Biosciences, Inc",2.16,79883323.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
AQU,Aquasition Corp.,10,73055000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aqu
AQUUU,Aquasition Corp.,10.3201,67986238.78,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuu
AQUUW,Aquasition Corp.,0.22,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/aquuw
PETX,"Aratana Therapeutics, Inc.",8.845,193659921.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
ARCW,"ARC Group Worldwide, Inc.",4.91,27852554.38,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",1.34,14674021.08,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ACGL,Arch Capital Group Ltd.,53.46,7132652980,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACAT,Arctic Cat Inc.,56.72,763139637,n/a,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat
ARDNA,"Arden Group, Inc.",130.99,402270290,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ardna
ARNA,"Arena Pharmaceuticals, Inc.",6.96,1519045648,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ARCC,Ares Capital Corporation,17.47,4687418991,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/arcc
AGII,"Argo Group International Holdings, Ltd.",42.94,1144912054,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",22.2,0,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
ARIA,"ARIAD Pharmaceuticals, Inc.",17.36,3213452885,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aria
ARKR,Ark Restaurants Corp.,20.5,66554521,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arkr
ABFS,Arkansas Best Corporation,23.34,600540860.8,n/a,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/abfs
ARMH,ARM Holdings plc,41.57,19365710575,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARTX,Arotech Corporation,2.01,32746463.73,n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
ARQL,"ArQule, Inc.",2.49,156180389.5,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,6.14,718489322.7,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARRS,"ARRIS Group, Inc.",16.52,2282378370,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
AROW,Arrow Financial Corporation,26.24,316264002.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARWR,Arrowhead Research Corporation,3.87,122056700.1,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/arwr
